Designator,Mid X,Mid Y,Rotation,Layer
A1,129.445,-75.705,90.0,top
C1,112.92882,-108.264978,90.0,top
C2,120.553814,-107.989979,90.0,top
D1,114.353816,-120.064979,180.0,top
D2,84.428816,-119.914979,180.0,top
F1,163.75,-141.589979,90.0,top
J1,139.924999,-164.95,180.0,top
J10,133.728812,-101.564979,0.0,top
J11,146.478812,-101.714979,0.0,top
J2,71.653814,-98.764979,0.0,top
J3,71.578814,-107.314979,0.0,top
J4,162.503812,-90.464978,0.0,top
J5,74.128814,-81.539979,0.0,top
J6,74.128814,-90.139979,0.0,top
J7,98.107592,-164.174979,180.0,top
J8,163.753812,-98.324979,0.0,top
J9,163.903812,-106.314979,0.0,top
K1,110.423814,-137.539981,270.0,top
K2,80.623814,-137.549981,270.0,top
PS1,140.573813,-131.89998,90.0,top
Q1,98.003814,-127.252479,90.0,top
Q2,68.703814,-127.227479,90.0,top
R1,90.066314,-116.339979,0.0,top
R2,98.903814,-122.552479,270.0,top
R3,78.816314,-113.364979,180.0,top
R4,69.628814,-122.827479,270.0,top
R5,131.816314,-96.489979,180.0,top
R6,144.816314,-96.389979,180.0,top
R7,164.553814,-84.864979,0.0,top
R8,160.316314,-84.814979,180.0,top
SW1,151.878814,-90.349974,0.0,top
U1,97.803814,-117.649979,0.0,top
U2,93.937501,-86.989979,180.0,top
U3,72.058814,-117.499979,0.0,top
